;CD_ALUNO;NOMEDEP;NomeDepBol;RegiaoMetropolitana;CDREDE;DE;CODMUN;MUN;CODESC;TIPOCLASSE;SERIE_ANO;TURMA;CLASSE;SEXO;DT_NASCIMENTO;PERIODO;NEC_ESP_1;NEC_ESP_2;NEC_ESP_3;NEC_ESP_4;NEC_ESP_5;Tip_PROVA;Tem_Nec;cad_prova_lp;cad_prova_mat;particip_lp;particip_mat;TOTAL_PONTO_LP;TOTAL_PONTO_MAT;porc_ACERT_lp;porc_ACERT_MAT;profic_lp;profic_mat;nivel_profic_lp;nivel_profic_mat;classific_lp;classific_mat;validade
535;22231900;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;A;232242388;F;20020517;MANHÃ;0;0;0;0;0;C;0;18,0;18,0;0;0;;;;;;;;;;;1
605;29635156;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;919007;0;5º Ano EF;C;231494964;F;20090210;TARDE;0;0;0;0;0;C;0;16,0;16,0;0;0;;;;;;;;;;;1
1077;22018895;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;44878;0;EM-3ª série;B;232230458;F;20011101;MANHÃ;0;0;0;0;0;C;0;24,0;24,0;0;0;;;;;;;;;;;1
1219;28328626;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46536;0;5º Ano EF;D;232743906;F;20080706;TARDE;0;0;0;0;0;C;0;10,0;10,0;1;1;15,0;10,0;62,5;41,7;210,0;193,8;Adequado;Básico;Suficiente;Suficiente;1
1295;27097161;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;44878;0;9º Ano EF;A;232228213;M;20041202;MANHÃ;0;0;0;0;0;C;0;20,0;20,0;1;1;7,0;11,0;29,2;45,8;200,4;258,8;Básico;Básico;Suficiente;Suficiente;1
1766;24998587;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;35403;0;EM-3ª série;C;231339367;F;20020408;MANHÃ;0;0;0;0;0;C;0;3,0;3,0;1;1;13,0;9,0;54,2;37,5;292,2;283,8;Básico;Básico;Suficiente;Suficiente;1
2117;28327190;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;917084;0;5º Ano EF;A;232157917;F;20081020;MANHÃ;0;0;0;0;0;C;0;3,0;3,0;1;1;17,0;13,0;70,8;54,2;205,9;217,7;Adequado;Básico;Suficiente;Suficiente;1
2185;22293437;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;A;231552423;F;20020216;MANHÃ;0;0;0;0;0;C;0;17,0;17,0;1;1;16,0;15,0;66,7;62,5;305,5;328,5;Adequado;Básico;Suficiente;Suficiente;1
2234;24393494;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10273;0;9º Ano EF;B;232163899;M;20040927;MANHÃ;20;0;0;0;0;C;1;11,0;11,0;1;1;7,0;8,0;29,2;33,3;151,7;208,0;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;0
2783;26036622;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;44878;0;9º Ano EF;C;235305372;F;20050808;MANHÃ;0;0;0;0;0;C;0;24,0;24,0;1;1;9,0;8,0;37,5;33,3;194,0;233,7;Abaixo do Básico;Básico;Insuficiente;Suficiente;1
3187;28495773;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46536;0;5º Ano EF;C;232082107;F;20081029;TARDE;0;0;0;0;0;C;0;13,0;13,0;1;1;18,0;14,0;75,0;58,3;228,7;212,0;Adequado;Básico;Suficiente;Suficiente;1
3284;29856324;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;49086;0;5º Ano EF;B;232099994;F;20090323;TARDE;0;0;0;0;0;C;0;5,0;5,0;1;1;20,0;17,0;83,3;70,8;249,1;224,2;Adequado;Básico;Suficiente;Suficiente;1
3496;30734483;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;919007;0;3º Ano EF;C;231480260;F;20110205;TARDE;0;0;0;0;0;C;0;;;1;1;;;;;292,3;304,7;Avançado;Avançado;Avançado;Avançado;1
3609;22165504;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;B;231552522;F;20020403;MANHÃ;0;0;0;0;0;C;0;12,0;12,0;1;1;7,0;7,0;29,2;29,2;218,8;249,4;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;1
3919;26533527;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;904181;0;9º Ano EF;B;232230870;F;20051012;TARDE;11;0;0;0;0;C;1;2,0;2,0;1;1;9,0;4,0;37,5;16,7;191,7;165,6;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;0
4225;25933859;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;A;232242388;M;20021108;MANHÃ;0;0;0;0;0;C;0;13,0;13,0;1;1;13,0;12,0;54,2;50,0;286,9;321,3;Básico;Básico;Suficiente;Suficiente;1
4234;27469012;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;919007;0;5º Ano EF;A;231494832;F;20090307;MANHÃ;0;0;0;0;0;C;0;23,0;23,0;0;0;;;;;;;;;;;1
5363;22228827;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;C;231552639;M;20010405;MANHÃ;0;0;0;0;0;C;0;21,0;21,0;1;1;8,0;6,0;33,3;25,0;227,4;235,0;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;1
6186;24632066;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;EM-3ª série;C;232244947;M;20011124;MANHÃ;0;0;0;0;0;C;0;22,0;22,0;1;1;7,0;8,0;29,2;33,3;177,4;267,3;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;1
6818;29393761;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46536;0;5º Ano EF;D;232743906;F;20090212;TARDE;0;0;0;0;0;C;0;3,0;3,0;1;1;23,0;22,0;95,8;91,7;278,9;289,0;Avançado;Avançado;Avançado;Avançado;1
7697;27410880;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;904181;0;9º Ano EF;A;232230813;F;20050622;TARDE;0;0;0;0;0;C;0;5,0;5,0;1;0;10,0;;41,7;;207,4;;Básico;;Suficiente;;1
7732;28015286;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;40708;0;9º Ano EF;A;232122986;M;20050213;MANHÃ;0;0;0;0;0;C;0;3,0;3,0;1;1;14,0;14,0;58,3;58,3;256,1;288,0;Básico;Básico;Suficiente;Suficiente;1
8049;22800261;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;G;231552357;F;20020110;NOITE;0;0;0;0;0;C;0;19,0;19,0;1;1;10,0;10,0;41,7;41,7;256,3;260,9;Básico;Abaixo do Básico;Suficiente;Insuficiente;1
8403;29410016;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;918672;0;9º Ano EF;A;231473604;M;20050408;MANHÃ;0;0;0;0;0;C;0;11,0;11,0;1;1;7,0;14,0;29,2;58,3;166,4;276,6;Abaixo do Básico;Básico;Insuficiente;Suficiente;1
8447;29301116;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46536;0;3º Ano EF;C;232073882;M;20101011;TARDE;0;0;0;0;0;C;0;;;1;1;;;;;232,5;219,7;Avançado;Adequado;Avançado;Suficiente;1
9496;23732744;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;904181;0;9º Ano EF;B;232230870;M;20040821;TARDE;0;0;0;0;0;C;0;23,0;23,0;1;1;20,0;18,0;83,3;75,0;311,1;326,5;Adequado;Adequado;Suficiente;Suficiente;1
9810;30520350;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;49086;0;5º Ano EF;B;232099994;F;20080816;TARDE;0;0;0;0;0;C;0;8,0;8,0;1;1;17,0;9,0;70,8;37,5;229,2;184,7;Adequado;Básico;Suficiente;Suficiente;1
9882;27102433;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;9º Ano EF;C;231518663;M;20050105;TARDE;0;0;0;0;0;C;0;3,0;3,0;1;1;13,0;15,0;54,2;62,5;246,4;303,3;Básico;Adequado;Suficiente;Suficiente;1
9896;29395427;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46536;0;5º Ano EF;A;232082040;F;20080718;MANHÃ;0;0;0;0;0;C;0;13,0;13,0;1;1;19,0;22,0;79,2;91,7;236,2;284,4;Adequado;Avançado;Suficiente;Avançado;1
10646;27822591;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;44878;0;9º Ano EF;A;232228213;M;20041123;MANHÃ;0;0;0;0;0;C;0;25,0;25,0;1;1;18,0;19,0;75,0;79,2;274,6;320,3;Básico;Adequado;Suficiente;Suficiente;1
10824;27667162;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46536;0;5º Ano EF;D;232743906;F;20090228;TARDE;0;0;0;0;0;C;0;20,0;20,0;1;1;21,0;24,0;87,5;100,0;270,3;333,5;Avançado;Avançado;Avançado;Avançado;1
11307;22698472;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;35403;0;EM-3ª série;C;231339367;F;20020409;MANHÃ;0;0;0;0;0;C;0;8,0;8,0;1;1;15,0;7,0;62,5;29,2;304,4;221,2;Adequado;Abaixo do Básico;Suficiente;Insuficiente;1
11337;29331094;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;919007;0;5º Ano EF;A;231494832;F;20080610;MANHÃ;0;0;0;0;0;C;0;26,0;26,0;0;1;;14,0;;58,3;;206,1;;Básico;;Suficiente;1
12612;22553305;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;35403;0;EM-3ª série;C;231339367;F;20020731;MANHÃ;0;0;0;0;0;C;0;19,0;19,0;1;1;12,0;3,0;50,0;12,5;263,3;195,1;Básico;Abaixo do Básico;Suficiente;Insuficiente;1
13323;30764186;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;3º Ano EF;D;232282277;F;20110101;TARDE;0;0;0;0;0;C;0;;;1;1;;;;;195,6;216,9;Adequado;Adequado;Suficiente;Suficiente;1
13568;26381092;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;9º Ano EF;B;233857515;M;20050630;TARDE;0;0;0;0;0;C;0;8,0;8,0;1;1;11,0;9,0;45,8;37,5;215,8;206,2;Básico;Abaixo do Básico;Suficiente;Insuficiente;1
13623;27120988;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10273;0;9º Ano EF;A;232163857;F;20050522;MANHÃ;0;0;0;0;0;C;0;5,0;5,0;1;1;16,0;3,0;66,7;12,5;260,8;191,4;Básico;Abaixo do Básico;Suficiente;Insuficiente;1
13767;32110542;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;3º Ano EF;A;232282095;F;20110407;MANHÃ;0;0;0;0;0;C;0;;;1;1;;;;;188,1;271,6;Adequado;Avançado;Suficiente;Avançado;1
13935;31884409;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914848;0;2º Ano EF;A;232128959;F;20120207;TARDE;0;0;0;0;0;C;0;;;1;1;;;;;176,7;276,4;;;Acima de suficiente;Acima de suficiente;1
14371;30487535;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;917084;0;3º Ano EF;B;232762138;F;20101230;TARDE;0;0;0;0;0;C;0;;;1;1;;;;;202,7;268,6;Adequado;Avançado;Suficiente;Avançado;1
14380;29386829;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;3º Ano EF;B;232282111;F;20101129;MANHÃ;0;0;0;0;0;C;0;;;1;1;;;;;214,6;204,3;Adequado;Adequado;Suficiente;Suficiente;1
14406;23844925;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;9º Ano EF;A;232234278;M;20040702;TARDE;0;0;0;0;0;C;0;6,0;6,0;1;1;7,0;4,0;29,2;16,7;194,1;207,8;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;1
14467;20130607;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;49086;0;EM-3ª série;B;232468231;M;20020715;MANHÃ;0;0;0;0;0;C;0;9,0;9,0;1;1;4,0;11,0;16,7;45,8;201,7;291,8;Abaixo do Básico;Básico;Insuficiente;Suficiente;1
15069;23549167;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10273;0;EM-3ª série;B;232213033;M;20011108;MANHÃ;0;0;0;0;0;C;0;15,0;15,0;1;1;16,0;10,0;66,7;41,7;288,9;280,0;Básico;Básico;Suficiente;Suficiente;1
16057;23255401;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;G;231552357;F;20010910;NOITE;0;0;0;0;0;C;0;20,0;20,0;1;1;11,0;9,0;45,8;37,5;252,7;266,3;Básico;Abaixo do Básico;Suficiente;Insuficiente;1
16132;23656027;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;35403;0;EM-3ª série;E;231339532;M;20010820;MANHÃ;0;0;0;0;0;C;0;13,0;13,0;1;1;5,0;4,0;20,8;16,7;203,1;202,5;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;1
16275;27351150;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;49086;0;9º Ano EF;B;232111864;M;20050423;TARDE;0;0;0;0;0;C;0;21,0;21,0;1;1;12,0;13,0;50,0;54,2;214,5;259,9;Básico;Básico;Suficiente;Suficiente;1
17581;22234410;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;40708;0;EM-3ª série;B;232490169;M;20020824;MANHÃ;0;0;0;0;0;C;0;19,0;19,0;1;1;3,0;6,0;12,5;25,0;168,4;220,0;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;1
17950;29607047;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;3º Ano EF;C;232282178;F;20110312;TARDE;0;0;0;0;0;C;0;;;1;1;;;;;210,9;217,7;Adequado;Adequado;Suficiente;Suficiente;1
18551;29369827;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;919007;0;5º Ano EF;A;231494832;M;20081118;MANHÃ;0;0;0;0;0;C;0;21,0;21,0;1;1;24,0;23,0;100,0;95,8;330,5;332,2;Avançado;Avançado;Avançado;Avançado;1
18740;29450392;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;918830;0;5º Ano EF;A;232085712;F;20090228;MANHÃ;0;0;0;0;0;C;0;24,0;24,0;1;1;23,0;23,0;95,8;95,8;272,2;308,7;Avançado;Avançado;Avançado;Avançado;1
19431;30027471;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;5º Ano EF;A;232293753;M;20090212;MANHÃ;0;0;0;0;0;C;0;23,0;23,0;1;1;8,0;19,0;33,3;79,2;165,4;253,0;Básico;Adequado;Suficiente;Suficiente;1
20498;29277676;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;917084;0;5º Ano EF;A;232157917;M;20080717;MANHÃ;0;0;0;0;0;C;0;8,0;8,0;1;1;17,0;19,0;70,8;79,2;237,1;265,2;Adequado;Adequado;Suficiente;Suficiente;1
21856;20588867;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;35403;0;EM-3ª série;A;231339268;F;20010303;MANHÃ;0;0;0;0;0;C;0;5,0;5,0;0;0;;;;;;;;;;;1
22982;26138308;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;49086;0;9º Ano EF;A;232111823;F;20050207;TARDE;0;0;0;0;0;C;0;20,0;20,0;1;1;18,0;20,0;75,0;83,3;283,7;340,3;Adequado;Adequado;Suficiente;Suficiente;1
22985;30554185;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;3º Ano EF;D;232282277;F;20110227;TARDE;0;0;0;0;0;C;0;;;1;1;;;;;122,6;127,1;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;1
23634;26649364;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;904181;0;9º Ano EF;A;232230813;F;20050925;TARDE;0;0;0;0;0;C;0;16,0;16,0;1;0;14,0;;58,3;;244,9;;Básico;;Suficiente;;1
24256;24641723;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;E;231552209;M;20020619;NOITE;0;0;0;0;0;C;0;26,0;26,0;1;1;13,0;9,0;54,2;37,5;294,0;283,6;Básico;Básico;Suficiente;Suficiente;1
24467;27133552;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;9º Ano EF;A;232234278;M;20030623;TARDE;0;0;0;0;0;C;0;17,0;17,0;1;1;12,0;9,0;50,0;37,5;252,2;231,2;Básico;Básico;Suficiente;Suficiente;1
24765;25232783;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;F;231552290;F;20020805;NOITE;0;0;0;0;0;C;0;20,0;20,0;0;0;;;;;;;;;;;1
25331;29835764;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;3º Ano EF;A;232282095;F;20101222;MANHÃ;0;0;0;0;0;C;0;;;1;1;;;;;202,0;230,6;Adequado;Adequado;Suficiente;Suficiente;1
25581;28384560;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;5º Ano EF;e;232294009;F;20080822;TARDE;0;0;0;0;0;C;0;8,0;8,0;1;1;15,0;15,0;62,5;62,5;218,2;230,2;Adequado;Adequado;Suficiente;Suficiente;1
25591;27287742;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;35403;0;9º Ano EF;B;231359787;F;20050203;TARDE;0;0;0;0;0;C;0;14,0;14,0;1;1;22,0;19,0;91,7;79,2;325,7;327,0;Avançado;Adequado;Avançado;Suficiente;1
26230;22259405;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;35403;0;EM-3ª série;B;231339318;M;20020414;MANHÃ;0;0;0;0;0;C;0;7,0;7,0;0;0;;;;;;;;;;;1
27746;22680207;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;G;231552357;M;20020713;NOITE;0;0;0;0;0;C;0;12,0;12,0;1;0;8,0;;33,3;;242,5;;Abaixo do Básico;;Insuficiente;;1
27790;19992571;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;40708;0;EM-3ª série;B;232490169;F;20020705;MANHÃ;0;0;0;0;0;C;0;4,0;4,0;1;1;11,0;6,0;45,8;25,0;259,1;234,7;Básico;Abaixo do Básico;Suficiente;Insuficiente;1
28090;26097633;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;904193;0;9º Ano EF;B;232091660;M;20050615;MANHÃ;0;0;0;0;0;C;0;6,0;6,0;1;1;7,0;7,0;29,2;29,2;170,1;214,3;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;1
28229;30964383;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;2º Ano EF;A;232251470;F;20120419;MANHÃ;0;0;0;0;0;C;0;;;1;1;;;;;144,1;129,0;;;Suficiente;Insuficiente;1
28505;23001624;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10273;0;EM-3ª série;C;232213108;M;20020806;MANHÃ;0;0;0;0;0;C;0;13,0;13,0;1;1;20,0;15,0;83,3;62,5;358,5;315,8;Adequado;Básico;Suficiente;Suficiente;1
28878;22944754;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;44878;0;EM-3ª série;A;232230391;F;20020220;MANHÃ;0;0;0;0;0;C;0;15,0;15,0;1;1;13,0;11,0;54,2;45,8;278,6;274,8;Básico;Abaixo do Básico;Suficiente;Insuficiente;1
29936;26909784;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;9º Ano EF;A;231518770;F;20050701;MANHÃ;0;0;0;0;0;C;0;11,0;11,0;1;1;18,0;13,0;75,0;54,2;282,9;275,9;Adequado;Básico;Suficiente;Suficiente;1
29976;31359469;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;3º Ano EF;A;232282095;F;20110416;MANHÃ;0;0;0;0;0;C;0;;;1;1;;;;;167,0;230,6;Básico;Adequado;Suficiente;Suficiente;1
30004;23298571;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;49086;0;EM-3ª série;B;232468231;M;20020120;MANHÃ;0;0;0;0;0;C;0;2,0;2,0;1;1;16,0;12,0;66,7;50,0;306,8;304,6;Adequado;Básico;Suficiente;Suficiente;1
30106;24379061;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;35403;0;EM-3ª série;g;231339193;F;20020428;NOITE;0;0;0;0;0;C;0;10,0;10,0;1;1;9,0;6,0;37,5;25,0;246,5;185,1;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;1
30243;29426826;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;5º Ano EF;A;232293753;F;20090404;MANHÃ;0;0;0;0;0;C;0;18,0;18,0;1;1;15,0;21,0;62,5;87,5;197,7;269,8;Básico;Adequado;Suficiente;Suficiente;1
31191;29335818;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;5º Ano EF;d;232293845;F;20080418;TARDE;0;0;0;0;0;C;0;15,0;15,0;1;1;17,0;15,0;70,8;62,5;218,1;223,7;Adequado;Básico;Suficiente;Suficiente;1
31407;27320089;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46536;0;5º Ano EF;C;232082107;M;20080813;TARDE;0;0;0;0;0;C;0;20,0;20,0;1;1;16,0;21,0;66,7;87,5;220,1;259,9;Adequado;Adequado;Suficiente;Suficiente;1
31417;23359903;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;B;231552522;F;20020528;MANHÃ;0;0;0;0;0;C;0;24,0;24,0;1;1;12,0;11,0;50,0;45,8;283,6;299,4;Básico;Básico;Suficiente;Suficiente;1
31517;31382995;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;919007;0;3º Ano EF;B;231480138;F;20110307;TARDE;0;0;0;0;0;C;0;;;1;0;;;;;97,6;;Abaixo do Básico;;Insuficiente;;1
31574;26814109;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10273;0;9º Ano EF;B;232163899;M;20030922;MANHÃ;0;0;0;0;0;C;0;18,0;18,0;1;1;19,0;9,0;79,2;37,5;291,4;248,8;Adequado;Básico;Suficiente;Suficiente;1
